Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,2889,Нет старого прайса,Нет скидки,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора.Российский компьютерный бестселлер,1407,1928,27,На складе
Apache Airflow и конвейеры обработки данных,"Харенслак Бас, Руйтер Джулиан де",ДМК-Пресс,3449,5306,35,На складе
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,1269,1953,35,На складе
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань.Учебники для вузов. Специальная литература,1115,1715,35,На складе
Использование языка Python в теории вероятностей. Учебник,Криволапов Сергей Яковлевич,Прометей,1922,2957,35,На складе
Экономика на Python. Учебник,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",Прометей,1398,2151,35,Ограничено
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц Джастин, Арнольд Тим",Питер.Библиотека программиста,1688,2164,22,На складе
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер.Библиотека программиста,1688,2164,22,На складе
Гид Java-разработчика. Проектно-ориентированный подход,"Урма Рауль-Габриэль, Уорбэртон Ричард",Бомбора.Мировой компьютерный бестселлер,819,1122,27,На складе
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Диалектика,5243,8066,35,На складе
Python и DevOps. Ключ к автоматизации Linux,Гифт Ной и др.,Питер.Бестселлеры O`Reilly,2561,3283,22,На складе
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс.Программирование,908,1397,35,На складе
JavaScript и Node.js для веб-разработчиков,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV.Профессиональное программирование,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Введение в логическое программирование,"Дженесерет Майкл, Чаудри Винай К.",ДМК-Пресс,1633,2513,35,На складе
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1905,2930,35,На складе
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань.Компьютеры и программное обеспечение,569,875,35,Ограничено
Параллельные и высокопроизводительные вычисления,"Роби Роберт, Замора Джулиана",ДМК-Пресс,4536,6979,35,На складе
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань.Компьютеры и программное обеспечение,3117,4796,35,Ограничено
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура","Персиваль Гарри, Грегори Боб",Питер.Для профессионалов,2127,2727,22,На складе
WebAssembly в действии,Галлан Жерар,Питер.Библиотека программиста,2823,3619,22,На складе
Тестирование программного обеспечения,Игнатьев Александр Владимирович,Лань.Компьютеры и программное обеспечение,588,905,35,На складе
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань.Компьютеры и программное обеспечение,3639,5598,35,На складе
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань.Компьютеры и программное обеспечение,3292,5065,35,На складе
Тестирование программного обеспечения. Учебное пособие для СПО,Игнатьев Александр Владимирович,Лань.Компьютеры и программное обеспечение,905,Нет старого прайса,Нет скидки,Ожидается
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань.Компьютеры и программное обеспечение,588,905,35,На складе
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань.Компьютеры и программное обеспечение,1906,2933,35,Ограничено
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань.Компьютеры и программное обеспечение,1906,2933,35,На складе
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер.Для профессионалов,3545,4545,22,На складе
Функциональное программирование. Учебник,Гордиенко Александр Петрович,Кнорус.Магистратура,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1815,2793,35,На складе
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,2177,3349,35,На складе
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,2903,4466,35,На складе
Программирование. Учебник,Иванова Галина Сергеевна,Кнорус.Бакалавриат,1454,2237,35,Ограничено
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,2722,4187,35,На складе
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1905,2930,35,На складе
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1995,3069,35,На складе
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,3629,5583,35,На складе
,,,0,Нет старого прайса,Нет скидки,
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,2722,4187,35,На складе
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1905,2930,35,На складе
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1995,3069,35,На складе
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,3629,5583,35,На складе
Статистические вычисления на платформе Jupyter Notebook с использованием Python. Учебник,Криволапов Сергей Яковлевич,Кнорус.Бакалавриат и магистратура,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
C#. Программирование на языке высокого уровня. Учебник для вузов,Павловская Татьяна Александровна,Питер.Учебник для ВУЗов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,699,1076,35,Ограничено
Проектирование цифровых образовательных ресурсов,Коннова Лариса Петровна и др.,Прометей,1310,2016,35,На складе
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер.Библиотека программиста,1545,1981,22,На складе
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,907,1395,35,На складе
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер.Head First (O'Reilly),2232,Нет старого прайса,Нет скидки,На складе
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань.Компьютеры и программное обеспечение,1507,2319,35,На складе
"Дизайн пользовательского опыта. Как создать продукт, который ждут",Уэлен Джон,"Манн, Иванов и Фербер.Серия O Reilly",Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,3496,5378,35,На складе
,,,0,Нет старого прайса,Нет скидки,
SQL. Сборник рецептов. Решения и методики построения запросов для разработчиков баз данных,"Молинаро Энтони, Грааф Роберт де",BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Дружеское знакомство с тестированием программ,Лабун Билл,BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
JavaScript. Дополнительные уроки для начинающих,Дронов Валерий Александрович,BHV.Для Начинающих,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Новые возможности Arduino, ESP, Raspberry Pi в проектах IoT",Петин Виктор Александрович,BHV.Электроника,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо.Мировой компьютерный бестселлер,1268,1737,27,На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,2177,3349,35,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер.Библиотека программиста,1121,1437,22,На складе
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер.Библиотека программиста,1192,1528,22,На складе
Паттерны программирования игр,Нистрем Роберт,Бомбора.Мировой компьютерный бестселлер,1499,2053,27,На складе
Эффективный C. Профессиональное программирование,Сикорд Роберт С.,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер.Бестселлеры O`Reilly,1945,2493,22,На складе
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,2889,Нет старого прайса,Нет скидки,На складе
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,2079,3198,35,На складе
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,3720,5723,35,На складе
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,2177,3349,35,На складе
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс.Российский компьютерный бестселлер,965,1322,27,На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel. Учебное пособие для вузов,Воскобойников Юрий Евгеньевич,Лань.Компьютеры и программное обеспечение,2503,3851,35,На складе
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань.Компьютеры и программное обеспечение,3117,4796,35,На складе
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань.Компьютеры и программное обеспечение,1212,1865,35,Ограничено
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,2079,3198,35,Ограничено
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань.Компьютеры и программное обеспечение,1906,2933,35,Ограничено
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,3811,5863,35,На складе
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1815,2793,35,На складе
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора.Мировой компьютерный бестселлер,2078,2846,27,На складе
SQL за 10 минут,Форта Бен,Вильямс,1747,2688,35,Ограничено
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер.Библиотека программиста,1560,2000,22,На складе
Делай как в Google. Разработка программного обеспечения,Винтерс Титус и др.,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер.Бестселлеры O`Reilly,4099,5255,22,На складе
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,6174,9498,35,На складе
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,2540,3908,35,На складе
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань.Учебники для вузов. Специальная литература,2205,3392,35,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1380,2123,35,На складе
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань.Компьютеры и программное обеспечение,2271,3494,35,На складе
Java. Решение практических задач,Леонард Анджел,BHV.Учебная литература для ВУЗов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Создание сайтов на Tilda. Самоучитель,Молочков Владимир Петрович,BHV.Самоучитель,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Основы искусственного интеллекта в примерах на Python,Постолит Анатолий Владимирович,BHV.Самоучитель,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Python, Django и PyCharm для начинающих",Постолит Анатолий Владимирович,BHV.Для Начинающих,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Bootstrap и CSS-препроцессор Sass,Прохоренок Николай Анатольевич,BHV.Самое необходимое,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Практическая статистика для специалистов Data Science,Брюс Питер и др.,BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер.Библиотека программиста,1185,1519,22,На складе
"Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных","Седжвик Роберт, Уэйн Кевин",Питер,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,1178,1813,35,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1905,2930,35,На складе
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс.Библиотека студента,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус.Бакалавриат,2032,Нет старого прайса,Нет скидки,Ожидается
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер.Бестселлеры O`Reilly,2731,3501,22,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер.Библиотека программиста,2213,2837,22,На складе
,,,0,Нет старого прайса,Нет скидки,
"Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React",Скотт Адам Д.,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М.Среднее профессиональное образование,2630,4046,35,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М.Высшее образование. Бакалавриат,1730,2662,35,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1995,3069,35,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1995,3069,35,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер.Библиотека программиста,2459,3152,22,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань.Учебники для вузов. Специальная литература,2352,3618,35,Ограничено
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,2177,3349,35,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,2722,4187,35,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,3085,4746,35,На складе
,,,0,Нет старого прайса,Нет скидки,
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,3085,4746,35,На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань.Компьютеры и программное обеспечение,4110,6323,35,На складе
"Python, например",Лейси Никола,Питер.Библиотека программиста,1589,2037,22,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,3496,5378,35,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1360,2093,35,На складе
C#. Алгоритмы и структуры данных (+CD). Учебное пособие,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань.Учебники для вузов. Специальная литература,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань.Компьютеры и программное обеспечение,1806,2778,35,На складе
C#. Основы программирования (+CD). Учебное пособие для СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань.Компьютеры и программное обеспечение,2345,3607,35,На складе
Arduino. Большая книга рецептов,Марголис Майкл и др.,BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Active Directory глазами хакера,Hacker Ralf,BHV.Глазами Хакера,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Web-сервер глазами хакера,Фленов Михаил Евгеньевич,BHV.Глазами Хакера,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер.Библиотека программиста,3545,4545,22,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,1088,1674,35,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,907,1395,35,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,3267,5026,35,На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,268,343,22,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,3085,4746,35,На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос.Учебники и учебные пособия для студентов вузов,2283,3512,35,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор.Хочу в СССР,955,1224,22,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер.Библиотека программиста,1545,1981,22,На складе
Наглядный CSS,Сидельников Грег,Питер.Библиотека программиста,1404,1800,22,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань.Компьютеры и программное обеспечение,2727,4196,35,Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань.Компьютеры и программное обеспечение,2600,4000,35,На складе
Программирование. Сборник задач. Учебное пособие для СПО,Маран Михкель Михкелевич и др.,Лань.Компьютеры и программное обеспечение,1606,2471,35,На складе
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань.Математика,1478,2274,35,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,2358,3628,35,На складе
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань.Компьютеры и программное обеспечение,1072,1649,35,На складе
Вычисления в кольцах некоммутативных многочленов,Цирулик Владимир Григорьевич,Лань.Компьютеры и программное обеспечение,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика",Роббинс Дженнифер Нидерст,BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Разработка веб-приложений на WordPress,"Мессенленер Брайан, Коулман Джейсон",BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань.Учебники для вузов. Специальная литература,2084,3206,35,Ограничено
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,6989,10752,35,Ограничено
PowerShell для сисадминов,Бертрам Адам,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Защита данных. От авторизации до аудита,Андресс Джейсон,Питер.Для профессионалов,1545,1981,22,Ограничено
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер.Бестселлеры O`Reilly,2325,2981,22,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань.Компьютеры и программное обеспечение,1383,2127,35,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,2903,4466,35,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1815,2793,35,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер.Библиотека программиста,2793,3581,22,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер.Библиотека программиста,2793,3581,22,На складе
Laravel 8. Быстрая разработка веб-сайтов на PHP,Дронов Владимир Александрович,BHV.Профессиональное программирование,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Разработка Android-приложений на С# с использованием Xamarin с нуля,Умрихин Евгений Дмитриевич,BHV.С нуля,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Атаки на веб и WordPress,,BHV.Библиотека журнала «Хакер»,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Linux глазами хакера,Фленов Михаил Евгеньевич,BHV.Глазами Хакера,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
,,,0,Нет старого прайса,Нет скидки,
Python для финансовых расчетов,Хилпиш Ив,Диалектика.Самоучитель,8736,13440,35,На складе
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,2903,4466,35,На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку на JavaScript,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань.Учебники для вузов. Специальная литература,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань.Компьютеры и программное обеспечение,2654,4083,35,Ограничено
C#. Программирование 2D и 3D векторной графики +CD. СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань.Компьютеры и программное обеспечение,2345,3607,35,Ограничено
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань.Компьютеры и программное обеспечение,1840,2831,35,На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань.Компьютеры и программное обеспечение,1854,2852,35,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань.Компьютеры и программное обеспечение,2291,3524,35,Ограничено
Практическое введение в язык программирования Си. СПО,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань.Компьютеры и программное обеспечение,1183,1820,35,Ограничено
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань.Компьютеры и программное обеспечение,1524,2344,35,Ограничено
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Простой Python для опытных программистов,Гаско Рик,Солон-пресс.Программирование,999,1537,35,На складе
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,3449,5306,35,На складе
Программируй & типизируй,Ришкуция Влад,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
,,,0,Нет старого прайса,Нет скидки,
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",1461,2001,27,На складе
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Юрий Николаевич, Александров А. Г.",ДМК-Пресс,1360,2093,35,На складе
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,1559,2398,35,Ограничено
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,1386,2133,35,На складе
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер.Для профессионалов,2495,3199,22,На складе
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер.Для профессионалов,3457,4432,22,На складе
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,437,672,35,На складе
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М.Высшее образование. Бакалавриат,2184,3360,35,На складе
Java. Быстрый старт,Чан Джейми,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Python. Быстрый старт,Чан Джейми,Питер.Библиотека программиста,1077,1381,22,На складе
CSS для профи,Грант Кит,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Kubernetes. Лучшие практики. Построение эффективных приложений,Бернс Брендан и др.,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
C++ для профи,Лоспинозо Джош,Питер.Для профессионалов,3261,4181,22,На складе
Интеллектуальные информационные системы и методы искусственного интеллекта. Учебник,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М.Высшее образование. Магистратура,4159,6398,35,На складе
Современный скрапинг веб-сайтов с помощью Python,Митчелл Райан,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань.Компьютеры и программное обеспечение,2465,3793,35,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер.Бестселлеры O`Reilly,3244,4159,22,На складе
